source_click_dt,clientType,source,total_user_series,ep2_same_day_users,ep10_same_day_users,ep20_same_day_users,ep30_same_day_users,ep50_same_day_users,ep2_3day_users,ep10_3day_users,ep20_3day_users,ep30_3day_users,ep50_3day_users
2026-01-21,Android,from_mlt,28547,15067,9018,7389,6158,3259,15708,10221,9019,8141,5026
2026-01-21,Android,series_widget_grid_2,83037,46279,27131,21865,18754,10204,47888,29939,25533,23277,14351
2026-01-21,ios,search_results,1350,673,415,348,304,197,689,449,402,383,300
2026-01-21,Android,hero_widget,22256,14047,9785,8897,7964,5214,14525,10608,10077,9556,6977
2026-01-21,Android,continue_watching,73130,40547,37034,34731,32964,23688,41359,38541,37254,36743,28618
2026-01-21,Android,search_results,35799,18284,9950,7427,6366,3832,18840,10781,8451,7689,5184
2026-01-21,Android,interstitials,24068,8950,5308,4417,3875,1946,9541,5988,5324,4990,2864
2026-01-21,Android,series_widget_grid_3,47024,17792,11806,10411,9130,5623,18564,13068,12258,11526,8211
2026-01-21,Android,for_you_feed,4992,3067,2330,2053,1788,1066,3229,2615,2418,2252,1517
2026-01-21,Android,search_landing_page,7902,2777,2100,2020,1862,1352,2890,2268,2247,2171,1761
2026-01-21,ios,interstitials,592,224,125,119,106,55,245,149,151,147,91
2026-01-21,Android,from_notifications,7261,2157,1077,788,606,331,2260,1183,940,786,469
2026-01-21,ios,series_widget_grid_2,3480,1442,847,738,618,335,1513,961,902,827,517
2026-01-21,ios,series_widget_grid_3,2361,812,560,501,456,317,867,652,635,612,495
2026-01-21,Android,ranking_page,1298,770,529,464,393,223,821,597,564,512,315
2026-01-21,Android,from_manage_subscription,35,17,5,5,6,2,17,6,6,7,3
2026-01-21,Android,genre_page,2754,1613,983,824,670,375,1689,1086,986,854,563
2026-01-21,Android,series_landscape_carousel,821,539,379,345,302,180,563,430,408,387,258
2026-01-21,ios,ranking_page,109,54,27,22,18,9,55,29,28,24,12
2026-01-21,ios,search_landing_page,325,137,91,104,86,65,140,99,113,111,102
2026-01-21,ios,genre_page,283,164,88,85,78,46,173,105,107,101,69
2026-01-21,Android,series_widget_horizontal,2,1,1,0,0,0,1,1,0,0,0
2026-01-21,ios,from_mlt,1,0,0,0,0,0,0,0,0,0,0
2026-01-21,ios,from_undo_cancellation_screen,1,1,0,0,0,0,1,0,0,0,0
2026-01-21,both,series_widget_grid_2,86514,47721,27978,22603,19372,10539,49401,30900,26435,24104,14868
2026-01-21,both,series_widget_grid_3,49384,18604,12366,10912,9586,5940,19431,13720,12893,12138,8706
2026-01-21,both,from_mlt,28548,15067,9018,7389,6158,3259,15708,10221,9019,8141,5026
2026-01-21,both,continue_watching,73130,40547,37034,34731,32964,23688,41359,38541,37254,36743,28618
2026-01-21,both,hero_widget,22256,14047,9785,8897,7964,5214,14525,10608,10077,9556,6977
2026-01-21,both,for_you_feed,4992,3067,2330,2053,1788,1066,3229,2615,2418,2252,1517
2026-01-21,both,search_landing_page,8226,2914,2191,2124,1948,1417,3030,2367,2360,2282,1863
2026-01-21,both,search_results,37145,18957,10365,7775,6670,4029,19529,11230,8853,8072,5484
2026-01-21,both,genre_page,3037,1777,1071,909,748,421,1862,1191,1093,955,632
2026-01-21,both,interstitials,24660,9174,5433,4536,3981,2001,9786,6137,5475,5137,2955
2026-01-21,both,from_notifications,7261,2157,1077,788,606,331,2260,1183,940,786,469
2026-01-21,both,ranking_page,1407,824,556,486,411,232,876,626,592,536,327
2026-01-21,both,series_landscape_carousel,821,539,379,345,302,180,563,430,408,387,258
2026-01-21,both,from_manage_subscription,35,17,5,5,6,2,17,6,6,7,3
2026-01-21,both,series_widget_horizontal,2,1,1,0,0,0,1,1,0,0,0
2026-01-21,both,from_undo_cancellation_screen,1,1,0,0,0,0,1,0,0,0,0
2026-01-22,Android,from_mlt,65824,36347,22766,19624,17026,10557,37422,24674,22155,19975,13403
2026-01-22,Android,search_landing_page,19377,6462,4917,4729,4498,3576,6641,5170,5056,4882,4103
2026-01-22,Android,series_widget_grid_2,174463,97798,57786,47458,41820,24720,100064,61649,52214,47390,29879
2026-01-22,Android,interstitials,59636,27090,18619,16653,15547,12135,28525,20496,18885,18125,14936
2026-01-22,Android,continue_watching,151532,76300,69378,65856,63865,49916,77704,71626,69273,68748,56308
2026-01-22,Android,series_widget_grid_3,110646,39161,26438,24136,21872,15199,40287,28075,26389,24703,18366
2026-01-22,Android,search_results,86860,44375,24109,18638,16574,10469,45238,25311,19955,18179,12150
2026-01-22,Android,hero_widget,64139,45613,34555,32524,30583,24099,46718,36578,35307,34091,28589
2026-01-22,Android,from_notifications,13745,4073,2037,1606,1300,692,4248,2246,1862,1642,1054
2026-01-22,Android,genre_page,6377,3852,2168,1857,1581,1039,3938,2307,2038,1776,1214
2026-01-22,Android,for_you_feed,11489,7176,5694,5159,4669,3181,7429,6137,5701,5317,3824
2026-01-22,ios,series_widget_grid_3,5938,2017,1484,1459,1329,984,2091,1604,1633,1543,1231
2026-01-22,ios,search_results,5236,2421,1468,1299,1183,815,2457,1534,1393,1307,974
2026-01-22,ios,search_landing_page,1185,462,357,380,365,289,474,372,413,413,348
2026-01-22,Android,ranking_page,3104,1868,1314,1187,966,665,1916,1392,1289,1077,791
2026-01-22,ios,series_widget_grid_2,7701,3282,1888,1610,1458,873,3344,2020,1778,1654,1035
2026-01-22,Android,series_landscape_carousel,1817,1221,877,815,751,481,1255,944,902,855,590
2026-01-22,ios,genre_page,736,402,274,263,217,143,409,287,279,241,168
2026-01-22,ios,interstitials,1950,883,590,589,541,380,917,644,663,628,495
2026-01-22,ios,from_mlt,860,422,243,230,196,117,426,249,242,210,139
2026-01-22,ios,ranking_page,362,208,158,157,131,86,214,168,171,150,114
2026-01-22,Android,from_manage_subscription,86,39,24,19,16,10,40,25,21,19,12
2026-01-22,ios,from_undo_cancellation_screen,5,1,0,0,0,0,1,0,0,0,0
2026-01-22,Android,series_widget_horizontal,1,0,0,0,0,0,0,0,0,0,0
2026-01-22,both,series_widget_grid_2,182163,101080,59674,49068,43278,25593,103408,63669,53992,49044,30914
2026-01-22,both,search_results,92088,46796,25577,19937,17757,11284,47695,26845,21348,19486,13124
2026-01-22,both,search_landing_page,20562,6924,5274,5109,4863,3865,7115,5542,5469,5295,4451
